IV,Moderator,Outcome,Transform,Transform_Label,N,Interaction_Beta,Interaction_p,Interaction_CI_Lower,Interaction_CI_Upper,Cohens_f2,Analysis_Tag
iv3_health_behaviors_score,mo1_genai_composite_score,dv2_health_outcomes_score,raw,Raw,3134,-3.950965480567453,0.007833547811451597,-6.863068031964591,-1.0388629291703144,0.0032523119564401323,continuous_surface_target
iv3_health_behaviors_score,mo1_genai_composite_score,dv2_health_outcomes_score,winsorized,Winsorized (1st-99th percentile),3134,-3.552665234401558,0.00010244755477326871,-5.345096732746188,-1.760233736056928,0.003002003972806942,continuous_surface_target
iv3_health_behaviors_score,mo1_genai_composite_score,dv2_health_outcomes_score,signed_log1p,Signed log1p,3134,-0.004045039025545066,0.7875868013099022,-0.03346890371918195,0.02537882566809182,1.5317354390502993e-05,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv2_health_outcomes_score,raw,Raw,3134,-0.15748025253225126,0.00228160534758455,-0.25864913838276815,-0.056311366681734365,0.004710389618094484,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv2_health_outcomes_score,winsorized,Winsorized (1st-99th percentile),3134,-0.13821755418310638,2.1919046678489918e-07,-0.19049212376350874,-0.08594298460270403,0.004135119389724319,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv2_health_outcomes_score,signed_log1p,Signed log1p,3134,-0.0007724685962205713,0.8591755568877377,-0.009305771861300228,0.007760834668859086,7.463897094813162e-06,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,raw,Raw,3079,-0.32730621298457757,0.002007410261374669,-0.534972321233363,-0.11964010473579209,0.005132644861826203,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,winsorized,Winsorized (1st-99th percentile),3079,-0.2901842241944822,5.303898113935815e-07,-0.4035945723343557,-0.1767738760546087,0.004586858550918462,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,signed_log1p,Signed log1p,3079,-0.005713825114593174,0.18765508277132859,-0.014213624340453312,0.0027859741112669645,0.00041874195452272094,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,raw,Raw,3130,0.05500722578276627,0.8601282714583832,-0.5568288867897889,0.6668433383553215,4.992275764317714e-06,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,winsorized,Winsorized (1st-99th percentile),3130,-0.2559583691725266,0.026761013175454682,-0.482446999141443,-0.029469739203610235,0.0006870360220563075,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,signed_log1p,Signed log1p,3130,-0.06323127651009311,0.01968736882451763,-0.11636916842203615,-0.010093384598150061,0.0024893089140383714,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,raw,Raw,3130,0.012898776230282495,0.20382734368165345,-0.00699631051711842,0.03279386297768341,0.0003506284185818213,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,winsorized,Winsorized (1st-99th percentile),3130,0.0019526080762723762,0.6816417674431092,-0.007376546643292588,0.011281762795837341,4.77648069076856e-05,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,signed_log1p,Signed log1p,3130,0.010191629675888145,0.49547894813769633,-0.01911386667357806,0.03949712602535435,0.0001804747910862033,continuous_surface_target
