ownership_group_type,ownership_group,ownership_category,n_hospitals,ai_staff_scheduling_pct,ai_predict_staff_needs_pct,ai_predict_patient_demand_pct,ai_automate_routine_tasks_pct,ai_optimize_workflows_pct,ai_adoption_count_mean,ai_adoption_count_std,any_ai_adoption_mean,any_ai_adoption_std,robotics_in_hospital_pct,any_robotics_adoption_pct,adjpd_mean,adjpd_median,adjpd_std,admissions_mean,admissions_median,admissions_std,beds_mean,beds_median,beds_std,capex_mean,capex_median,capex_std
description,State,Nonfederal Government,278,1.7985611510791366,2.877697841726619,3.597122302158273,3.597122302158273,4.676258992805756,0.16546762589928057,0.7368301931959449,0.06115107913669065,0.24003934435834992,10.431654676258994,10.431654676258994,101706.65107913669,55147.5,142339.37677061895,4064.744604316547,588.0,8975.660817736094,240.61510791366908,158.5,260.9451289994589,61644026.41791045,3291999.0,108524128.86301416
description,County,Nonfederal Government,327,0.9174311926605505,0.6116207951070336,0.6116207951070336,1.529051987767584,3.3639143730886847,0.07033639143730887,0.4478382397112539,0.039755351681957186,0.1956833270963069,12.844036697247708,12.844036697247708,56414.773700305814,21225.0,100717.36172198402,2149.480122324159,457.0,5560.022999362325,79.16207951070336,25.0,157.64525301095927,6833729.188571429,1832168.0,18491246.137391556
description,City,Nonfederal Government,75,2.666666666666667,1.3333333333333335,1.3333333333333335,4.0,4.0,0.13333333333333333,0.6644105970267493,0.05333333333333334,0.2262104576963036,14.666666666666666,14.666666666666666,62200.333333333336,28389.0,75618.35662619788,3598.7733333333335,788.0,6135.837361241219,115.13333333333334,43.0,160.18876815008423,46554403.35294118,3697532.0,133949640.43683259
description,City-county,Nonfederal Government,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,77589.85,39906.5,123885.58353122066,3471.95,937.0,4654.454996361861,124.15,54.0,177.72547576766283,8534357.25,4257557.0,12592260.508048218
description,Hospital district or authority,Nonfederal Government,473,6.13107822410148,6.13107822410148,5.708245243128964,5.2854122621564485,8.24524312896406,0.3150105708245243,1.0272385899345549,0.10570824524312897,0.3077893696259721,19.873150105708245,19.873150105708245,71843.16490486258,26506.0,115661.9133236191,4087.5137420718816,594.0,8546.817721065547,114.35729386892177,35.0,191.8265824868742,18314460.218487393,2200304.0,52503047.47887537
description,Church operated,Not for profit,487,8.41889117043121,10.472279260780287,11.90965092402464,10.677618069815194,13.347022587268995,0.5482546201232033,1.2377930849069343,0.20944558521560575,0.40733134889700734,39.42505133470226,39.42505133470226,92867.59958932239,67503.0,85115.45983780544,7407.515400410678,5181.0,7611.070223955397,173.78850102669404,129.0,166.13610127644424,13665464.799295774,5297663.0,25030225.846730832
description,Other not-for-profit,Not for profit,2681,14.211115255501678,17.232375979112273,17.941066766132042,22.15591197314435,23.573293547183887,0.9511376352107422,1.6604035463243554,0.299142111152555,0.4579676171728458,40.2088772845953,40.2088772845953,104971.79522566206,60294.0,135284.96266854668,7625.634464751958,3112.0,11222.628878373696,178.95710555762776,98.0,230.77289513616958,25971728.665450122,6734933.5,60716582.721727125
description,Individual,For Profit,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.416666666666668,10.416666666666668,34337.145833333336,29950.0,33584.61271525398,3195.9791666666665,1486.5,3949.2379038028757,103.47916666666667,62.0,99.04565669391606,3805063.0,717517.0,9553934.960165676
description,Partnership,For Profit,333,3.6036036036036037,2.7027027027027026,1.5015015015015014,2.7027027027027026,2.1021021021021022,0.12612612612612611,0.5928863000333005,0.06006006006006006,0.2379556428164484,22.822822822822822,22.822822822822822,36900.12912912913,15658.0,69022.71706325038,3621.87987987988,1016.0,8471.735288877055,91.12912912912913,44.0,157.5484764511248,5991578.763313609,1007427.0,15243453.863314988
description,Corporation,For Profit,1234,1.8638573743922204,1.2155591572123177,0.8914100486223663,0.9724473257698543,1.6207455429497568,0.06564019448946515,0.45715288752014627,0.02674230145867099,0.16139473216826422,9.238249594813615,9.238249594813615,39638.39789303079,24668.5,44586.05349467517,3669.0299837925445,1648.0,5260.794913852937,103.74878444084278,70.0,102.33209349279697,3592685.185185185,679385.5,9011870.259001546
description,Department of Defense,Federal Government,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13834.897435897436,4997.0,16638.683125388816,2429.948717948718,1184.0,3531.138186482906,86.07692307692308,60.0,70.51815168167123,,,
description,Veterans Affairs,Federal Government,132,0.7575757575757576,1.5151515151515151,0.7575757575757576,0.7575757575757576,2.272727272727273,0.06060606060606061,0.4052626282123532,0.022727272727272728,0.14960043938525358,6.0606060606060606,6.0606060606060606,53999.09848484849,44491.5,41054.99792669851,4774.856060606061,4218.0,3333.4421155769182,247.7651515151515,197.0,210.46788516234417,131011330.83333333,41093383.5,246193072.20134303
description,Public Health Service Indian Service,Federal Government,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676.0625,1156.5,8331.54189709591,639.0,376.5,616.3535851566728,35.25,25.5,37.90140009329811,9801654.5,9801654.5,4890464.342877934
